"_v","_u"
-3.69,3.312
-3.69,3.384
-3.69,3.456
-3.69,3.528
-3.69,3.6
-3.6,-3.6
-3.6,-3.528
-3.6,-3.456
-3.6,-3.384
-3.6,-3.312
-3.6,-3.24
-3.6,-3.168
-3.6,-3.096
-3.6,-3.024
-3.6,-2.952
-3.6,-2.88
-3.6,-2.808
-3.6,-2.736
-3.6,-2.664
-3.6,-2.592
-3.6,-2.52
-3.6,-2.448
-3.6,-2.376
-3.6,-2.304
-3.6,-2.232
-3.6,-2.16
-3.6,-2.088
-3.6,-2.016
-3.6,-1.944
-3.6,-1.872
-3.6,-1.8
-3.6,-1.728
-3.6,-1.656
-3.6,-1.584
-3.6,-1.512
-3.6,-1.44
-3.6,-1.368
-3.6,-1.296
-3.6,-1.224
-3.6,-1.152
-3.6,-1.08
-3.6,-1.008
-3.6,-0.936
-3.6,-0.864
-3.6,-0.792
-3.6,-0.72
-3.6,-0.648
-3.6,-0.576
-3.6,-0.504
-3.6,-0.432
-3.6,-0.36
-3.6,-0.288
-3.6,-0.216
-3.6,-0.144
-3.6,-0.072
-3.6,0
-3.6,0.072
-3.6,0.144
-3.6,0.216
-3.6,0.288
-3.6,0.36
-3.6,0.432
-3.6,0.504
-3.6,0.576
-3.6,0.648
-3.6,0.72
-3.6,0.792
-3.6,0.864
-3.6,0.936
-3.6,1.008
-3.6,1.08
-3.6,1.152
-3.6,1.224
-3.6,1.296
-3.6,1.368
-3.6,1.44
-3.6,1.512
-3.6,1.584
-3.6,1.656
-3.6,1.728
-3.6,1.8
-3.6,1.872
-3.6,1.944
-3.6,2.016
-3.6,2.088
-3.6,2.16
-3.6,2.232
-3.6,2.304
-3.6,2.376
-3.6,2.448
-3.6,2.52
-3.6,2.592
-3.6,2.664
-3.6,2.736
-3.6,2.808
-3.6,2.88
-3.6,2.952
-3.6,3.024
-3.6,3.096
-3.6,3.168
-3.6,3.24
-3.6,3.312
-3.6,3.384
-3.6,3.456
-3.6,3.528
-3.6,3.6
-3.51,-3.6
-3.51,-3.528
-3.51,-3.456
-3.51,-3.384
-3.51,-3.312
-3.51,-3.24
-3.51,-3.168
-3.51,-3.096
-3.51,-3.024
-3.51,-2.952
-3.51,-2.88
-3.51,-2.808
-3.51,-2.736
-3.51,-2.664
-3.51,-2.592
-3.51,-2.52
-3.51,-2.448
-3.51,-2.376
-3.51,-2.304
-3.51,-2.232
-3.51,-2.16
-3.51,-2.088
-3.51,-2.016
-3.51,-1.944
-3.51,-1.872
-3.51,-1.8
-3.51,-1.728
-3.51,-1.656
-3.51,-1.584
-3.51,-1.512
-3.51,-1.44
-3.51,-1.368
-3.51,-1.296
-3.51,-1.224
-3.51,-1.152
-3.51,-1.08
-3.51,-1.008
-3.51,-0.936
-3.51,-0.864
-3.51,-0.792
-3.51,-0.72
-3.51,-0.648
-3.51,-0.576
-3.51,-0.504
-3.51,-0.432
-3.51,-0.36
-3.51,-0.288
-3.51,-0.216
-3.51,-0.144
-3.51,-0.072
-3.51,0
-3.51,0.072
-3.51,0.144
-3.51,0.216
-3.51,0.288
-3.51,0.36
-3.51,0.432
-3.51,0.504
-3.51,0.576
-3.51,0.648
-3.51,0.72
-3.51,0.792
-3.51,0.864
-3.51,0.936
-3.51,1.008
-3.51,1.08
-3.51,1.152
-3.51,1.224
-3.51,1.296
-3.51,1.368
-3.51,1.44
-3.51,1.512
-3.51,1.584
-3.51,1.656
-3.51,1.728
-3.51,1.8
-3.51,1.872
-3.51,1.944
-3.51,2.016
-3.51,2.088
-3.51,2.16
-3.51,2.232
-3.51,2.304
-3.51,2.376
-3.51,2.448
-3.51,2.52
-3.51,2.592
-3.51,2.664
-3.51,2.736
-3.51,2.808
-3.51,2.88
-3.51,2.952
-3.51,3.024
-3.51,3.096
-3.51,3.168
-3.51,3.24
-3.51,3.312
-3.51,3.384
-3.51,3.456
-3.51,3.528
-3.51,3.6
-3.42,-3.6
-3.42,-3.528
-3.42,-3.456
-3.42,-3.384
-3.42,-3.312
-3.42,-3.24
-3.42,-3.168
-3.42,-3.096
-3.42,-3.024
-3.42,-2.952
-3.42,-2.88
-3.42,-2.808
-3.42,-2.736
-3.42,-2.664
-3.42,-2.592
-3.42,-2.52
-3.42,-2.448
-3.42,-2.376
-3.42,-2.304
-3.42,-2.232
-3.42,-2.16
-3.42,-2.088
-3.42,-2.016
-3.42,-1.944
-3.42,-1.872
-3.42,-1.8
-3.42,-1.728
-3.42,-1.656
-3.42,-1.584
-3.42,-1.512
-3.42,-1.44
-3.42,-1.368
-3.42,-1.296
-3.42,-1.224
-3.42,-1.152
-3.42,-1.08
-3.42,-1.008
-3.42,-0.936
-3.42,-0.864
-3.42,-0.792
-3.42,-0.72
-3.42,-0.648
-3.42,-0.576
-3.42,-0.504
-3.42,-0.432
-3.42,-0.36
-3.42,-0.288
-3.42,-0.216
-3.42,-0.144
-3.42,-0.072
-3.42,0
-3.42,0.072
-3.42,0.144
-3.42,0.216
-3.42,0.288
-3.42,0.36
-3.42,0.432
-3.42,0.504
-3.42,0.576
-3.42,0.648
-3.42,0.72
-3.42,0.792
-3.42,0.864
-3.42,0.936
-3.42,1.008
-3.42,1.08
-3.42,1.152
-3.42,1.224
-3.42,1.296
-3.42,1.368
-3.42,1.44
-3.42,1.512
-3.42,1.584
-3.42,1.656
-3.42,1.728
-3.42,1.8
-3.42,1.872
-3.42,1.944
-3.42,2.016
-3.42,2.088
-3.42,2.16
-3.42,2.232
-3.42,2.304
-3.42,2.376
-3.42,2.448
-3.42,2.52
-3.42,2.592
-3.42,2.664
-3.42,2.736
-3.42,2.808
-3.42,2.88
-3.42,2.952
-3.42,3.024
-3.42,3.096
-3.42,3.168
-3.42,3.24
-3.42,3.312
-3.42,3.384
-3.42,3.456
-3.42,3.528
-3.42,3.6
-3.33,-3.6
-3.33,-3.528
-3.33,-3.456
-3.33,-3.384
-3.33,-3.312
-3.33,-3.24
-3.33,-3.168
-3.33,-3.096
-3.33,-3.024
-3.33,-2.952
-3.33,-2.88
-3.33,-2.808
-3.33,-2.736
-3.33,-2.664
-3.33,-2.592
-3.33,-2.52
-3.33,-2.448
-3.33,-2.376
-3.33,-2.304
-3.33,-2.232
-3.33,-2.16
-3.33,-2.088
-3.33,-2.016
-3.33,-1.944
-3.33,-1.872
-3.33,-1.8
-3.33,-1.728
-3.33,-1.656
-3.33,-1.584
-3.33,-1.512
-3.33,-1.44
-3.33,-1.368
-3.33,-1.296
-3.33,-1.224
-3.33,-1.152
-3.33,-1.08
-3.33,-1.008
-3.33,-0.936
-3.33,-0.864
-3.33,-0.792
-3.33,-0.72
-3.33,-0.648
-3.33,-0.576
-3.33,-0.504
-3.33,-0.432
-3.33,-0.36
-3.33,-0.288
-3.33,-0.216
-3.33,-0.144
-3.33,-0.072
-3.33,0
-3.33,0.072
-3.33,0.144
-3.33,0.216
-3.33,0.288
-3.33,0.36
-3.33,0.432
-3.33,0.504
-3.33,0.576
-3.33,0.648
-3.33,0.72
-3.33,0.792
-3.33,0.864
-3.33,0.936
-3.33,1.008
-3.33,1.08
-3.33,1.152
-3.33,1.224
-3.33,1.296
-3.33,1.368
-3.33,1.44
-3.33,1.512
-3.33,1.584
-3.33,1.656
-3.33,1.728
-3.33,1.8
-3.33,1.872
-3.33,1.944
-3.33,2.016
-3.33,2.088
-3.33,2.16
-3.33,2.232
-3.33,2.304
-3.33,2.376
-3.33,2.448
-3.33,2.52
-3.33,2.592
-3.33,2.664
-3.33,2.736
-3.33,2.808
-3.33,2.88
-3.33,2.952
-3.33,3.024
-3.33,3.096
-3.33,3.168
-3.33,3.24
-3.33,3.312
-3.33,3.384
-3.33,3.456
-3.33,3.528
-3.33,3.6
-3.24,-3.6
-3.24,-3.528
-3.24,-3.456
-3.24,-3.384
-3.24,-3.312
-3.24,-3.24
-3.24,-3.168
-3.24,-3.096
-3.24,-3.024
-3.24,-2.952
-3.24,-2.88
-3.24,-2.808
-3.24,-2.736
-3.24,-2.664
-3.24,-2.592
-3.24,-2.52
-3.24,-2.448
-3.24,-2.376
-3.24,-2.304
-3.24,-2.232
-3.24,-2.16
-3.24,-2.088
-3.24,-2.016
-3.24,-1.944
-3.24,-1.872
-3.24,-1.8
-3.24,-1.728
-3.24,-1.656
